_OS,compiler,SUPPORTED_DATE_LIB_FOR_FROMSTREAM,SUPPORTED_DATE_LIB_FOR_TOSTREAM,HAS_FLOATINGPOINT_FROM_CHARS,HAS_FLOATINGPOINT_TO_CHARS,ENABLE_FLOATINGPOINT_TO_STRING
macos-14,default,e_DATE_HHDATE,e_DATE_CHRONO,0,7,0
macos-14,g++-13,e_DATE_HHDATE,e_DATE_CHRONO,7,7,0
macos-14,g++-14,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
macos-14,g++-15,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
macos-15,default,e_DATE_HHDATE,e_DATE_CHRONO,0,7,0
macos-15,g++-13,e_DATE_HHDATE,e_DATE_CHRONO,7,7,0
macos-15,g++-14,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
macos-15,g++-15,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
macos-26,default,e_DATE_HHDATE,e_DATE_CHRONO,3,7,0
macos-26,g++-13,e_DATE_HHDATE,e_DATE_CHRONO,7,7,0
macos-26,g++-14,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
macos-26,g++-15,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-22.04,clang++-13,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-22.04,clang++-14,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-22.04,clang++-15,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-22.04,g++-12,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-22.04-arm,clang++-15,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-22.04-arm,g++-12,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-24.04,clang++-16,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04,clang++-17,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04,clang++-18,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04,default,e_DATE_HHDATE,e_DATE_CHRONO,7,7,0
ubuntu-24.04,g++-12,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-24.04,g++-14,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04-arm,clang++-16,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04-arm,clang++-17,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04-arm,clang++-18,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
ubuntu-24.04-arm,default,e_DATE_HHDATE,e_DATE_CHRONO,7,7,0
ubuntu-24.04-arm,g++-12,e_DATE_HHDATE,e_DATE_HHDATE,7,7,0
ubuntu-24.04-arm,g++-14,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
windows-11-vs2026-arm,,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
windows-2022,,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
windows-2025-vs2026,,e_DATE_CHRONO,e_DATE_CHRONO,7,7,0
